metric,value
classification,PR05C2C0_THEORY_CLOSURE_METRICS
status,PASS_PR05C2C0_SCALAR_THEORY_CONTRACT_COMPLETE_DIRECT_COMPILER_AND_MULTI_MACRO_IMPLEMENTATION_NEXT
edge_sample_count,5000
maximum_edge_antisymmetry_relative_residual,0.0
maximum_be_edge_null_relative_residual,2.5540943184027513e-16
maximum_pair_free_energy_production,-1.5096926652618641e-12
minimum_quasi_positive_boundary_flux,7.71517057360671e-12
minimum_interpolated_active_conductance,0.0063856959285394045
interpolation_symmetry_residual,0.0
interpolation_jvp_relative_residual,1.6734189772126528e-09
minimum_characteristic_transfer_occupation,9.462677312316406e-07
characteristic_transfer_recurrence_relative_residual,0.0
flrw_direction_residual_s_inv,0.0
flrw_frequency_residual_s_inv,0.0
minimum_sampled_finite_tilt_doppler_factor,0.1549228782403394
native_instantaneous_angular_rank,1
number_plus_momentum_angular_rank,4
angular_witness_monopole_residual,0.0
angular_witness_opposite_dipole_residual,2.7755575615628914e-17
graph_null_residual,2.6645352591003757e-15
graph_minimum_eigenvalue,4.710253600041038e-16
maximum_preconditioned_condition_number,1.3301268783538558
muscl_minimum_trace,0.38675046111189404
muscl_maximum_cell_average_residual,1.1102230246251565e-16
muscl_maximum_local_bound_violation,0.0
psf_zeta3_vs_mpmath_relative_residual,1.2886551059838349e-120
psf_zeta4_vs_mpmath_relative_residual,4.114741847318883e-120
psf_gamma_3_over_2_vs_mpmath_relative_residual,1.0924380098446225e-121
theory_contract_complete,True
direct_thermodynamic_compiler_implemented,False
multi_macro_trajectory_completed,False
claim_scope,SCALAR_UNPOLARIZED_THEORY_CONTRACT_WITH_EXPLICIT_HYDROGEN_FRAME_SOURCE_ISOTROPY_AXIOM
