target_z,model,bianchi_type,side,face_frequency_Hz,source_scalar_occupation,trace_monopole_residual,trace_pointwise_spread,minimum_occupation,minimum_doppler_factor,direction_deflection_max,coarse_fine_direction_difference,face_frequency_relative_residual,momentum_norm,classification
900,Bianchi_II_large_shear,II,red,2464925120684537.0,5.122874788048366e-16,3.3306690738754696e-16,0.0,5.122874788048366e-16,1.0,0.02076845251625233,2.710018913094081e-07,4.440892098500626e-16,1.5407439555097887e-33,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
900,Bianchi_II_large_shear,II,blue,2467151294226469.5,4.579328929122558e-16,0.0,0.0,4.579328929122558e-16,1.0,0.02076845251625233,2.710018913094081e-07,4.440892098500626e-16,2.178940998026312e-33,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
900,Bianchi_VI_h_tilted_large_shear,VI_h,red,2464925120684537.0,5.122874788048366e-16,3.3306690738754696e-16,0.0,5.122874788048366e-16,0.5784401367707603,0.046152735181775095,5.916153697885967e-07,4.440892098500626e-16,2.5059132906188024e-18,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
900,Bianchi_VI_h_tilted_large_shear,VI_h,blue,2467151294226469.5,4.579328929122558e-16,0.0,0.0,4.579328929122558e-16,0.5784401367707603,0.046152735181775095,5.916153697885967e-07,4.440892098500626e-16,2.2400315643816695e-18,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
900,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,red,2464925120684537.0,5.122874788048366e-16,3.3306690738754696e-16,0.0,5.122874788048366e-16,1.0,0.032871740003424375,4.7192322627821836e-07,4.440892098500626e-16,8.672237315829701e-19,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
900,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,blue,2467151294226469.5,4.579328929122558e-16,0.0,0.0,4.579328929122558e-16,1.0,0.032871740003424375,4.7192322627821836e-07,2.220446049250313e-16,7.752097965237295e-19,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
1100,Bianchi_II_large_shear,II,red,2464807680554429.5,7.822346881651347e-15,0.0,0.0,7.822346881651347e-15,1.0,0.02076845251625233,2.710018913094081e-07,2.220446049250313e-16,7.795616304876909e-32,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
1100,Bianchi_II_large_shear,II,blue,2467268734356577.0,7.27537886017692e-15,2.220446049250313e-16,0.0,7.27537886017692e-15,1.0,0.02076845251625233,2.710018913094081e-07,4.440892098500626e-16,2.465190328815662e-32,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
1100,Bianchi_VI_h_tilted_large_shear,VI_h,red,2464807680554429.5,7.822346881651347e-15,0.0,0.0,7.822346881651347e-15,0.5784401367707603,0.046152735181775095,5.916153697885967e-07,4.440892098500626e-16,3.826391201341135e-17,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
1100,Bianchi_VI_h_tilted_large_shear,VI_h,blue,2467268734356577.0,7.27537886017692e-15,2.220446049250313e-16,0.0,7.27537886017692e-15,0.5784401367707603,0.046152735181775095,5.916153697885967e-07,4.440892098500626e-16,3.558835484821588e-17,SOURCE_SCALAR_INITIAL_DATA_EXACT_BIANCHI_FREE_CHARACTERISTIC
