target_z,temperature_K,nH_m3,state_a,state_b,relative_error,file,file_sha256,block_sha256
1000,2730.6294065729367,188020233.9163663,0,16,6.613134003088266e-06,z1000_pair_00_16.npz,322b801c010b4686b5daddeb37c002cb9863a18c5be48c2fa5a7800469d9ab93,eabe30e4f27251ff0dabf37f105c409dc17274af5b6d99ac2a30e039cb5f3227
1000,2730.6294065729367,188020233.9163663,7,9,3.196453984015767e-06,z1000_pair_07_09.npz,9214b46a3af5ce7c3a37e719991a87811cad21c46a4bee9de829e9bd93669e0b,1c7a094ba2687c0d64bdf894289d905a3cbf41d18dbd825d0b62e0a405fb8622
1000,2730.6294065729367,188020233.9163663,22,8,0.002448684814994782,z1000_pair_22_08.npz,05130f58312f61d5798b9f50e497e1b4e7d2621a3b03e041bb770b00484f45c6,3b8232d8afd79cbbebf4f30ca4bc023af17da39bb23c0cbeaeaa6b58e384cb15
1000,2730.6294065729367,188020233.9163663,23,8,0.002437180904775877,z1000_pair_23_08.npz,b2fae70b1b5f5754b09a38125cd3efd39f91ab170dbf354cb448880ce1293468,1caccb66e273375049406d23721b1fe15cd23a6b4d7c4e43f5aac7f46aca2526
1000,2730.6294065729367,188020233.9163663,29,8,0.0025705875221985358,z1000_pair_29_08.npz,060a060b58050a9b88546d9f2bc847210b025a0fc52180c6ae8078c46a7b5195,c1561584a43e0b9f711ca35455eef8b36d73c1401dcd3bbd10235780e718a550
1200,3276.3136082338797,324736704.03191745,0,16,4.227744747458747e-06,z1200_pair_00_16.npz,6cf7199fbc4481092f8be113f78433e480092a22248a164d3645aac2121997aa,cfc8ffc11ef9b4ee91ad2aadc5141c427277ec1194e28142db8a5ff0e3148387
1200,3276.3136082338797,324736704.03191745,7,9,2.0476307062693377e-06,z1200_pair_07_09.npz,7722fe213c51f32c0a70068e269186540b89b0ebb3d270504651756ff63dff14,d1dcb4d90ec1cd379be1688a4e74986989f79eca6b9bd89005ff4d738d28be12
1200,3276.3136082338797,324736704.03191745,22,8,0.0017182617262241663,z1200_pair_22_08.npz,ce505f9b0daf075be27cbe7e54c7d67bb1b19e7dab63484cb19cc577c491ec79,facda5b4af04832b7b93e31689278d3acbb63f94e566696bbdb18b8bc0ce4ce6
1200,3276.3136082338797,324736704.03191745,23,8,0.0017101914615447484,z1200_pair_23_08.npz,aa036839a2a5414a129963c2d5087317ad6990db1bd4d929857cf6bec0922e4f,f5ab513085ac3c4bd54f97c62352616de426393b59283789e9244f3a618a6853
1200,3276.3136082338797,324736704.03191745,29,8,0.0018112283894681765,z1200_pair_29_08.npz,664e1da2fffd8604c844c378969e6c91075b9413bbcf0bc6f2e77733070d4c9f,07a338b68fd22e57a79f38dc9b772e0160f7ddc06c959d3b84953e02d0bc270d
