sample,process,temperature_K,transition_frequency_Hz,companion_frequency_Hz,tracked_frequency_Hz,forward_H_inv_s_inv,reverse_H_inv_s_inv,planck_null_relative
0,two_photon,2059.1332824890706,2202562052266584.2,967543633993466.0,1235018418273118.2,1.435750214451585e-22,1.4357502144515852e-22,1.6374635907977797e-16
1,raman,4666.709918088052,2086191600594354.2,462159097822320.44,2548350698416674.5,1.9745933141053295e-11,1.9745933141053356e-11,3.10911166615269e-15
2,two_photon,4143.86546715897,2395507820993516.0,355169596068041.4,2040338224925474.5,2.976622312701001e-19,2.976622312701006e-19,1.779301097242329e-15
3,raman,4116.296634046466,2581237189005094.0,965370092012195.0,3546607281017289.0,9.721813807779953e-25,9.721813807779885e-25,6.9902868436473655e-15
4,two_photon,3419.7598660843014,2392667336787387.5,267583508708140.16,2125083828079247.2,9.175106520063832e-17,9.175106520063855e-17,2.5524835131380904e-15
5,raman,3462.081727715217,2292880083583070.0,119382471167694.69,2412262554750764.5,1.1042885008845075e-21,1.1042885008845149e-21,6.642362700739712e-15
6,two_photon,3201.962365282424,2653039726507264.0,936628556779111.9,1716411169728152.0,2.5992653564128443e-22,2.599265356412853e-22,3.4370315613248977e-15
7,raman,1605.204174821837,2640124544895267.5,935677433243783.8,3575801978139051.0,2.1765063943951283e-45,2.176506394395198e-45,3.202277341868882e-14
8,two_photon,4250.41331441957,2049998298066824.5,219387988445026.1,1830610309621798.5,2.025962853614831e-08,2.0259628536148256e-08,2.6130567551589698e-15
9,raman,2171.806720642905,2267687432135740.0,937425426630560.2,3205112858766300.0,2.8991119350634456e-32,2.899111935063414e-32,1.0950997768792374e-14
10,two_photon,4973.070940339778,2120008408862340.0,840366475860507.0,1279641933001833.0,5.1113842620542574e-14,5.111384262054266e-14,1.7285419537063814e-15
11,raman,3364.115742076406,2992729374389716.0,1021117961123489.6,4013847335513205.5,3.79932581472507e-31,3.799325814725062e-31,2.0746585700225034e-15
12,two_photon,1355.2556395726251,2843268478336606.5,1092886413835294.0,1750382064501312.5,4.052404173297249e-47,4.052404173297249e-47,0.0
13,raman,3494.5377121845927,2216483643092318.8,882828195183060.1,3099311838275379.0,6.596459203892024e-20,6.596459203892001e-20,3.4670748931645763e-15
14,two_photon,3888.3966107325173,2723824031257094.0,1047772385188257.4,1676051646068836.5,2.7362631797326334e-16,2.7362631797326427e-16,3.423546140914276e-15
15,raman,3579.218898529546,2100501007784722.2,669439582504083.8,2769940590288806.0,2.5259460518663073e-17,2.525946051866321e-17,5.3677103667626905e-15
16,two_photon,2796.274359940413,2557551906547142.5,710096617352117.6,1847455289195025.0,8.143509231214806e-21,8.143509231214778e-21,3.5105286677170524e-15
17,raman,3026.834938068664,2384737010035661.5,671186163639289.5,3055923173674951.0,3.130660389055759e-27,3.1306603890557307e-27,9.052358486911033e-15
18,two_photon,4480.437982899262,2034835995137433.8,830467699954746.9,1204368295182687.0,1.607442080932583e-08,1.6074420809325827e-08,2.0583773993850545e-16
19,raman,2485.992891703865,2378545566218928.5,337809453688519.2,2716355019907447.5,3.665177278453396e-24,3.665177278453423e-24,7.216191983123357e-15
20,two_photon,2018.3051477544877,2839996861163518.0,855218816728281.5,1984778044435236.5,2.5923816760147925e-36,2.5923816760147925e-36,0.0
21,raman,3555.6458902554264,2404892654694752.5,960222421740068.6,3365115076434821.0,2.052358930936239e-24,2.052358930936239e-24,0.0
22,two_photon,1693.3208218261593,2378877652320250.0,550773953253968.8,1828103699066281.2,1.9437212047555952e-36,1.9437212047555986e-36,1.718845212698769e-15
23,raman,1814.8845590554188,2121716409512139.0,626644735289825.1,2748361144801964.0,1.2214671097266622e-38,1.2214671097266713e-38,7.479060371295774e-15
24,two_photon,1654.7513276648428,2925370817420407.0,779443084368036.1,2145927733052371.0,2.981292240724978e-40,2.9812922407249247e-40,1.792039358031738e-14
25,raman,3326.573224994526,2756714723642258.5,1001397301391100.6,3758112025033359.0,4.80855706157013e-29,4.8085570615701715e-29,8.625962843512632e-15
26,two_photon,4957.762865580622,2029722847232313.0,337385280188495.44,1692337567043817.5,5.671212003720867e-16,5.67121200372087e-16,5.216219024501125e-16
27,raman,1745.3477544441241,2963855625393357.5,1060506135806781.5,4024361761200139.0,5.1519008788430303e-48,5.1519008788429574e-48,1.4155155932233762e-14
28,two_photon,3281.0820057336196,2459491142773330.0,997215900774254.8,1462275241999075.2,1.137640428037015e-16,1.1376404280370147e-16,2.1669327742416104e-16
29,raman,2136.578964574726,2364695891721199.0,862830675123745.6,3227526566844944.5,7.457316963501539e-33,7.45731696350167e-33,1.7616487494553868e-14
