target_z,actual_z,model,bianchi_type,boundary_closure,recorded_dt_s,recorded_gross_backward_error,recorded_number_relative_residual,final_minimum,final_maximum,collision_action_max_abs_s_inv,transport_action_max_abs_s_inv,total_action_max_abs_s_inv,implied_parent_minimum,implied_parent_maximum,nonpositive_parent_count,state_component_count,maximum_strictly_positive_dt_s,recorded_dt_to_positivity_limit_ratio,strictly_positive_parent_exists,classification
1300,1299.9971824762927,Bianchi_II_large_shear,II,isotropic,1299404661.3403444,3.7454420644958306e-14,5.0631318336812805e-15,3.2538259765023475e-15,2.220265225163593e-14,1.19687045475768e-14,1.4592883009807354e-23,1.1968704547568819e-14,-1.555219047528994e-05,1.2306614741867966e-05,324,910,0.3363252719791592,3863535599.611033,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1300,1299.9971824762927,Bianchi_II_large_shear,II,maximum_entropy_outward,1299404661.3403444,3.7454420644958306e-14,5.0631318336812805e-15,3.2538259765023475e-15,2.220265225163593e-14,1.19687045475768e-14,1.445972101842163e-23,1.1968704547568819e-14,-1.555219047528994e-05,1.2306614741867966e-05,324,910,0.3363252719791592,3863535599.611033,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1300,1299.9971824762927,Bianchi_VI_h_tilted_large_shear,VI_h,isotropic,1299404661.3403444,9.02914974419302e-14,4.2650663083986063e-16,3.2409706534180146e-15,2.6744989952961356e-14,1.3914661402968096e-14,4.9125583505399144e-23,1.3914661402965668e-14,-1.8080775883329854e-05,1.3283485065701123e-05,337,910,0.33455353362350354,3883996224.0621715,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1300,1299.9971824762927,Bianchi_VI_h_tilted_large_shear,VI_h,maximum_entropy_outward,1299404661.3403444,9.02914974419302e-14,4.2650663083986063e-16,3.2409706534180146e-15,2.6744989952961356e-14,1.3914661402968096e-14,4.9125583505399144e-23,1.3914661402965668e-14,-1.8080775883329854e-05,1.3283485065701123e-05,340,910,0.33455353362350354,3883996224.0621715,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1300,1299.9971824762927,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,isotropic,1299404661.3403444,6.4131191212047e-14,1.5114829308204064e-16,3.247913037477248e-15,2.236097552269471e-14,1.1914498196116155e-14,1.4714725939452734e-23,1.1914498196108474e-14,-1.5481754489547183e-05,1.2216309015011468e-05,324,910,0.3362554214510695,3864338174.0372276,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1300,1299.9971824762927,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,maximum_entropy_outward,1299404661.3403444,6.4131191212047e-14,1.5114829308204064e-16,3.247913037477248e-15,2.236097552269471e-14,1.1914498196116155e-14,1.4579066406925653e-23,1.1914498196108474e-14,-1.5481754489547183e-05,1.2216309015011468e-05,324,910,0.3362554214510695,3864338174.0372276,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1100,1099.9986525171403,Bianchi_II_large_shear,II,isotropic,1708369384.3217053,9.520069276693197e-16,1.391918522590901e-15,1.0629260857304968e-17,4.157393473485567e-15,5.663685328901618e-16,2.838609029468444e-24,5.663685328903652e-16,-6.525871300056615e-07,9.67566662026771e-07,236,910,0.5069980174923501,3369578036.560039,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1100,1099.9986525171403,Bianchi_II_large_shear,II,maximum_entropy_outward,1708369384.3217053,9.520069276693197e-16,1.391918522590901e-15,1.0629260857304968e-17,4.157393473485567e-15,5.663685328901618e-16,2.838609029468444e-24,5.663685328903652e-16,-6.525871300056615e-07,9.67566662026771e-07,245,910,0.5069980174923501,3369578036.560039,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1100,1099.9986525171403,Bianchi_VI_h_tilted_large_shear,VI_h,isotropic,1708369384.3217053,5.361502885332863e-16,1.8482186717025345e-16,7.587703796008027e-18,5.0957851139044284e-15,6.766349837401282e-16,9.361157946425661e-24,6.766349837409667e-16,-1.1279717372826436e-06,1.1559424909285497e-06,298,910,0.5215656035889736,3275464050.0948515,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1100,1099.9986525171403,Bianchi_VI_h_tilted_large_shear,VI_h,maximum_entropy_outward,1708369384.3217053,5.361502885332863e-16,1.8482186717025345e-16,7.587703796008027e-18,5.0957851139044284e-15,6.766349837401282e-16,9.361157946425661e-24,6.766349837409667e-16,-1.1279717372826436e-06,1.1559424909285497e-06,305,910,0.5215656035889736,3275464050.0948515,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1100,1099.9986525171403,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,isotropic,1708369384.3217053,4.797890303723217e-16,9.140014120011388e-17,9.116888892309262e-18,4.190446526296775e-15,5.55942974458569e-16,2.9862591586668484e-24,5.559429744588738e-16,-6.379413130831437e-07,9.497559571832987e-07,235,910,0.5061708587871789,3375084429.8209476,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
1100,1099.9986525171403,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,maximum_entropy_outward,1708369384.3217053,4.797890303723217e-16,9.140014120011388e-17,9.116888892309262e-18,4.190446526296775e-15,5.55942974458569e-16,2.9862591586668484e-24,5.559429744588738e-16,-6.379413130831437e-07,9.497559571832987e-07,244,910,0.5061708587871789,3375084429.8209476,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
900,900.0168986313175,Bianchi_II_large_shear,II,isotropic,2364600298.4089794,5.429382080028369e-16,2.8956951749150284e-15,2.7798304105384165e-19,2.7263054555662475e-16,2.397021627786078e-17,1.6702889917867325e-25,2.3970216277874322e-17,-3.9968872383571595e-08,5.6679980577976964e-08,270,910,0.8511832341621111,2778015594.6523643,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
900,900.0168986313175,Bianchi_II_large_shear,II,maximum_entropy_outward,2364600298.4089794,5.429382080028369e-16,2.8956951749150284e-15,2.7798304105384165e-19,2.7263054555662475e-16,2.397021627786078e-17,1.6702889917867325e-25,2.3970216277874322e-17,-3.9968872383571595e-08,5.6679980577976964e-08,279,910,0.8511832341621111,2778015594.6523643,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
900,900.0168986313175,Bianchi_VI_h_tilted_large_shear,VI_h,isotropic,2364600298.4089794,4.1890680116527404e-16,2.1952841166522393e-15,1.3498620726626376e-21,3.300415503564548e-16,2.9573955327408314e-17,5.03143865571022e-25,2.9573955327397504e-17,-6.993058356695224e-08,6.806878681236044e-08,328,910,0.8567761338499733,2759881146.29607,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
900,900.0168986313175,Bianchi_VI_h_tilted_large_shear,VI_h,maximum_entropy_outward,2364600298.4089794,4.1890680116527404e-16,2.1952841166522393e-15,1.3498620726626376e-21,3.300415503564548e-16,2.9573955327408314e-17,5.03143865571022e-25,2.9573955327397504e-17,-6.993058356695224e-08,6.806878681236044e-08,335,910,0.8567761338499733,2759881146.29607,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
900,900.0168986313175,Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,isotropic,2364600298.4089794,3.750785471364522e-16,5.994742439533059e-16,1.4187408531735744e-19,2.7467778017736873e-16,2.3517533013025803e-17,1.7523592918751223e-25,2.351753301304609e-17,-3.905860132321143e-08,5.560956559453091e-08,268,910,0.8499243142933122,2782130430.490246,0,INCONSISTENT_WITH_STRICTLY_POSITIVE_BACKWARD_EULER_PARENT
