dt_s,legacy_unit_floor_backward_error,corrected_state_relative_backward_error,physical_net_scaled_residual,physical_gross_backward_error,physical_number_relative_residual,physical_acceptance_metric,physical_gate_pass_1e_11
1e-09,6.701030094909327e-32,8.699287663933411e-15,8.549655253561757e-15,8.549655253561757e-15,2.975906847645999e-17,8.549655253561757e-15,1
1.701344159026462e-09,1.0968521690166732e-31,1.423935187268327e-14,1.3994427404523021e-14,1.3994427404523021e-14,6.275770188464861e-17,1.3994427404523021e-14,1
2.8945719474534708e-09,1.822899356715917e-31,2.3664907725930395e-14,2.3257858700791004e-14,2.3257858700791004e-14,1.1889973408952637e-16,2.3257858700791004e-14,1
4.924663075681813e-09,3.058155492232637e-31,3.970102203865796e-14,3.901814342923937e-14,3.901814342923937e-14,2.1441665265717006e-16,3.901814342923937e-14,1
8.378546758984578e-09,5.15975128461706e-31,6.69839712156138e-14,6.583181179657923e-14,6.583181179657923e-14,3.7692380415043854e-16,6.583181179657923e-14,1
1.4254791589528533e-08,8.735288956558396e-31,1.1340165673695573e-13,1.1145108985542544e-13,1.1145108985542544e-13,6.534043971435389e-16,1.1145108985542544e-13,1
2.4252306408983952e-08,1.4818508933595555e-30,1.9237411284255344e-13,1.890651821198476e-13,1.890651821198476e-13,1.1237930391165238e-15,1.890651821198476e-13,1
4.126151985184487e-08,2.5168159256602262e-30,3.267334338809855e-13,3.2111346465206285e-13,3.2111346465206285e-13,1.924086007609649e-15,3.2111346465206285e-13,1
7.020004579249097e-08,4.2776475070379665e-30,5.553248629180925e-13,5.457730388477255e-13,5.457730388477255e-13,3.285659775065389e-15,5.457730388477255e-13,1
1.1943443787244466e-07,7.27342765349747e-30,9.442375062413447e-13,9.279962931748857e-13,9.279962931748857e-13,5.602165351409853e-15,9.279962931748857e-13,1
2.031990832608934e-07,1.2370279608778508e-29,1.6059116177080403e-12,1.5782895943684923e-12,1.5782895943684923e-12,9.543338583075775e-15,1.5782895943684923e-12,1
3.4571157342545266e-07,2.1041775732269985e-29,2.7316465895989466e-12,2.6846623040082637e-12,2.6846623040082637e-12,1.624863064048199e-14,2.6846623040082637e-12,1
5.881743661552429e-07,3.5794965807120586e-29,4.646908013666429e-12,4.566983051260178e-12,4.566983051260178e-12,2.7656640116916647e-14,4.566983051260178e-12,1
1.000687022347316e-06,6.089519292384409e-29,7.905423391587468e-12,7.769458460011555e-12,7.769458460011555e-12,4.706559040576731e-14,7.769458460011555e-12,1
1.7025130204841922e-06,1.0359924059593541e-28,1.3449269484826402e-11,1.3217971291116601e-11,1.3217971291116601e-11,8.008689461253842e-14,1.3217971291116601e-11,0
2.8965605830672855e-06,1.7625329943186717e-28,2.2881230673508474e-11,2.2487766771697923e-11,2.2487766771697923e-11,1.3626749764816452e-13,2.2487766771697923e-11,0
4.928046429267819e-06,2.9986221188827276e-28,3.892815886416309e-11,3.825887916795488e-11,3.825887916795488e-11,2.3185003847341143e-13,3.825887916795488e-11,0
8.384303007846033e-06,5.1016164272366655e-28,6.622926360058229e-11,6.509096912467653e-11,6.509096912467653e-11,3.9446883601135396e-13,6.509096912467653e-11,0
1.4264584949906873e-05,8.679479371841066e-28,1.1267713585770147e-10,1.1074158864701758e-10,1.1074158864701758e-10,6.711393773504398e-13,1.1074158864701758e-10,0
2.426896828546088e-05,1.4766498891918463e-27,1.9169975134322183e-10,1.884090035272921e-10,1.884090035272921e-10,1.1418511868323836e-12,1.884090035272921e-10,0
4.1289867438067404e-05,2.5122160435744316e-27,3.2613979886674205e-10,3.205480061805323e-10,3.205480061805323e-10,1.9426939744792675e-12,3.205480061805323e-10,0
7.024827479273302e-05,4.27393919658946e-27,5.548515458701903e-10,5.453619265242051e-10,5.453619265242051e-10,3.3052031735407653e-12,5.453619265242051e-10,0
0.00011951649200030241,7.27085666642166e-27,9.439196173461316e-10,9.278477767687541e-10,9.278477767687541e-10,5.623300240983871e-12,9.278477767687541e-10,0
0.00020333868557204776,1.2368545263313572e-26,1.6057155756005924e-09,1.5785878439925884e-09,1.5785878439925884e-09,9.567181146734579e-12,1.5785878439925884e-09,0
0.00034594908500212173,2.1038287008215724e-26,2.73124529832449e-09,2.6857206564083426e-09,2.6857206564083426e-09,1.6277079889629516e-11,2.6857206564083426e-09,0
0.00058857845508891,3.5779300921133934e-26,4.6449642679156375e-09,4.569334600078436e-09,4.569334600078436e-09,2.7692926923512874e-11,4.569334600078436e-09,0
0.001001374516694338,6.083224153127086e-26,7.89740590194893e-09,7.774010181002355e-09,7.774010181002355e-09,4.711521159494993e-11,7.774010181002355e-09,0
0.0017036826849758614,1.0337909682326188e-25,1.3420955579225269e-08,1.3226266262182006e-08,1.3226266262182006e-08,8.01592021756486e-11,1.3226266262182006e-08,0
0.0028985505849182074,1.7554441133760617e-25,2.2789654851993205e-08,2.2502430299413534e-08,2.2502430299413534e-08,1.3637840254104586e-10,2.2502430299413534e-08,0
0.004931432107293337,2.9768526727687005e-25,3.864631562623893e-08,3.828437780232875e-08,3.828437780232875e-08,2.3202661070785298e-10,3.828437780232875e-08,0
0.008390063211379093,5.036642529997604e-25,6.53870708238851e-08,6.513490200447586e-08,6.513490200447586e-08,3.947571309937977e-10,6.513490200447586e-08,0
0.014274385038542647,8.489190005794567e-25,1.1020898225701918e-07,1.108168845225976e-07,1.108168845225976e-07,6.716177511776276e-10,1.108168845225976e-07,0
0.024285641609019297,1.421756813765071e-24,1.8457633581391335e-07,1.885376586525531e-07,1.885376586525531e-07,1.142652950191831e-09,1.885376586525531e-07,0
0.04131823449971507,2.3563159041566183e-24,3.0590329362756453e-07,3.207674437535682e-07,3.207674437535682e-07,1.9440459347305152e-09,3.207674437535682e-07,0
0.07029653692737603,3.83988341147014e-24,4.985039147960747e-07,5.457358162845048e-07,5.457358162845048e-07,3.307491208060192e-09,5.457358162845048e-07,0
0.1195986025011792,6.095711739529031e-24,7.913612805051414e-07,9.284844428557019e-07,9.284844428557019e-07,5.627180859991868e-09,9.284844428557019e-07,0
0.20347838379310965,9.310686158150753e-24,1.2087370562142605e-06,1.579671583048015e-06,1.579671583048015e-06,9.57377130005999e-09,1.579671583048015e-06,0
0.34618675975455176,1.3493737336791435e-23,1.7517902488382303e-06,2.687565020447346e-06,2.687565020447346e-06,1.6288279893339527e-08,2.687565020447346e-06,0
0.588982821640706,1.833562992416067e-23,2.3803748016470816e-06,4.572473048990466e-06,4.572473048990466e-06,2.771196986924876e-08,4.572473048990466e-06,0
1.0,2.3218082560793828e-23,3.0142239382057914e-06,7.76333855702263e-06,7.76333855702263e-06,4.705055709292119e-08,7.76333855702263e-06,0
1.0020624833653395,2.3236331939460575e-23,3.0165931047944953e-06,7.779350313654366e-06,7.779350313654366e-06,4.714759808429096e-08,7.779350313654366e-06,0
1.7048531530531787,2.7567057925203847e-23,3.5788152063908877e-06,1.3235352216605109e-05,1.3235352216605109e-05,8.021429062496326e-08,1.3235352216605109e-05,0
2.9005419539448725,3.095846900651932e-23,4.019093318754579e-06,2.251788918582756e-05,2.251788918582756e-05,1.3647211483735962e-07,2.251788918582756e-05,0
4.93482011135533,3.337156390378152e-23,4.332364648666104e-06,3.8310679239361524e-05,3.8310679239361524e-05,2.3218603546065856e-07,3.8310679239361524e-05,0
8.395827372300703,4.119273397115587e-23,5.441285135063256e-06,6.517965035167259e-05,6.517965035167259e-05,3.950283552506296e-07,6.517965035167259e-05,0
14.284191860058348,7.008301707063534e-23,9.25749864706375e-06,0.0001108930174126542,0.0001108930174126542,6.720791848676189e-07,0.0001108930174126542,0
24.302326387523603,1.192353309469379e-22,1.5750191145608873e-05,0.00018866718745128749,0.00018866718745128749,1.1434379955899165e-06,0.00018866718745128749,0
41.3466210501681,2.0286033153579476e-22,2.6796495402627204e-05,0.0003209878173696483,0.0003209878173696483,1.945381555017965e-06,0.0003209878173696483,0
70.34483221918406,3.451352334155627e-22,4.5590060045193754e-05,0.0005461107481999524,0.0005461107481999524,3.3097635457197568e-06,0.0005461107481999524,0
119.68076941380527,5.871937939088305e-22,7.756437978685254e-05,0.0009291223316310086,0.0009291223316310086,5.631046876281148e-06,0.0009291223316310086,0
203.61817798997126,9.990186749076485e-22,0.00013196369702559577,0.0015807568519409184,0.0015807568519409184,9.580348712177303e-06,0.0015807568519409184,0
346.42459779484807,1.699674423525414e-21,0.0002245156435028567,0.002689411436890188,0.002689411436890188,1.6299470322911667e-05,0.002689411436890188,0
589.3874660013585,2.8917306785937424e-21,0.0003819783160558448,0.004575614439371553,0.004575614439371553,2.773100862912316e-05,0.004575614439371553,0
1000.0,4.9063307995483206e-21,0.0006480935415935003,0.0077633385562371,0.0077633385562371,4.7050557110195384e-05,0.0077633385562371,0
1002.7509226848186,4.919827727110756e-21,0.0006498763956125106,0.007784694900381377,0.007784694900381377,4.717998955508323e-05,0.007784694900381377,0
1706.0244252682185,8.370316194426423e-21,0.0011056628850224805,0.013244445198566445,0.013244445198566445,8.026939965248279e-05,0.013244445198566445,0
2902.53469108656,1.4240777067866375e-20,0.0018811115723804599,0.022533359478126538,0.022533359478126538,0.00013656587424732441,0.022533359478126538,0
4938.210443051815,2.4228429600571948e-20,0.0032004137895734687,0.03833699953135375,0.03833699953135375,0.00023234555247304077,0.03833699953135375,0
8401.595493329682,4.1220800841178584e-20,0.0054449925812053174,0.06522443022726836,0.06522443022726836,0.0003952997485757964,0.06522443022726836,0
14294.005419079558,7.013048987401768e-20,0.009263769487439266,0.11096920339299193,0.11096920339299193,0.0006725409183040749,0.11096920339299193,0
24319.0226288436,1.1931529212338487e-19,0.0157607534831582,0.1887968060244857,0.1887968060244857,0.001144223563062943,0.1887968060244857,0
41375.02710281558,2.029940388998456e-19,0.026814157252723576,0.32120834317261143,0.32120834317261143,0.0019467180756376045,0.32120834317261143,0
70393.16069093684,3.4535595962523414e-19,0.04561921650381689,0.5464859384872892,0.5464859384872892,0.0033120374272572846,0.5464859384872892,0
