state_index,state_label,x_center,target_frequency_Hz,target_energy_eV_rescaled,source_index,source_energy_eV_rescaled,eta_target,eta_query,left_index,right_index,fraction,distortion_occupation,blackbody_occupation,total_occupation,thermal_zero,activity,q1_occupation
0,I00,-4.0,2465835914452890.5,10.197877937317523,140,10.199581,-7.003972912850124,-7.0041399005804745,5125,5126,0.03312449527584249,7.671308475512076e-15,7.734649966408769e-18,7.679043125478485e-15,False,993.2216118122542,7.731449894114842e-18
1,I01,-3.5,2465864868370308.0,10.197997681098487,140,10.199581,-7.003972912850124,-7.004128158620168,5125,5126,0.17142791466721974,7.670310542967283e-15,7.731072392290933e-18,7.678041615359574e-15,False,993.5516354441503,7.72787376262249e-18
2,I02,-3.0,2465893822287726.0,10.19811742487945,140,10.199581,-7.003972912850124,-7.004116416797733,5125,5126,0.3097297101348886,7.669312622139961e-15,7.727496472939195e-18,7.6770401186129e-15,False,993.8817535561117,7.724299285246327e-18
3,I03,-2.5,2465922776205144.0,10.198237168660416,140,10.199581,-7.003972912850124,-7.004104675113167,5125,5126,0.4480298817006769,7.668314713029954e-15,7.723922207588112e-18,7.676038635237543e-15,False,994.2119661655897,7.720726461221258e-18
4,I04,-2.0,2465951730122562.0,10.198356912441382,140,10.199581,-7.003972912850124,-7.004092933566467,5125,5126,0.586328429407331,7.66731681563695e-15,7.720349595472699e-18,7.675037165232422e-15,False,994.5422732900123,7.717155289782531e-18
5,I05,-1.5,2465980684039980.0,10.198476656222347,140,10.199581,-7.003972912850124,-7.004081192157629,5125,5126,0.7246253532948685,7.666318929960665e-15,7.716778635828266e-18,7.674035708596493e-15,False,994.8726749468073,7.713585770165755e-18
6,I06,-1.0,2466009637957398.0,10.19859640000331,140,10.199581,-7.003972912850124,-7.00406945088665,5125,5126,0.8629206533960314,7.665321056000859e-15,7.713209327890542e-18,7.673034265328749e-15,False,995.2031711534037,7.710017901606891e-18
7,I07,-0.5,2466038591874816.0,10.198716143784276,140,10.199581,-7.003972912850124,-7.004057709753527,5126,5127,0.0012143297626607819,7.664323200315229e-15,7.709641670895437e-18,7.672032841986125e-15,False,995.5337627781946,7.706451683342253e-18
8,I08,0.0,2466067545792234.0,10.198835887565242,140,10.199581,-7.003972912850124,-7.0040459687582555,5126,5127,0.13950638242658897,7.663326096643147e-15,7.706075664079381e-18,7.671032172307226e-15,False,995.8645450949255,7.70288711460851e-18
9,I09,0.5,2466096499709652.0,10.198955631346207,140,10.199581,-7.003972912850124,-7.004034227900834,5126,5127,0.2777968114178293,7.662329004677957e-15,7.702511306679103e-18,7.670031515984636e-15,False,996.1954221023082,7.699324194642678e-18
10,I10,1.0,2466125453627070.0,10.199075375127173,140,10.199581,-7.003972912850124,-7.004022487181259,5126,5127,0.4160856167800375,7.661331924419343e-15,7.698948597931683e-18,7.669030873017274e-15,False,996.5263938178077,7.69576292268213e-18
11,I11,1.5,2466154407544488.0,10.199195118908136,140,10.199581,-7.003972912850124,-7.004010746599527,5126,5127,0.554372798543227,7.66033485586709e-15,7.695387537074613e-18,7.668030243404165e-15,False,996.8574602588976,7.692203297964598e-18
12,I12,2.0,2466183361461906.0,10.199314862689102,140,10.199581,-7.003972912850124,-7.0039990061556345,5126,5127,0.6926583567601483,7.659337799020815e-15,7.691828123345568e-18,7.667029627144161e-15,False,997.1886214430274,7.688645319728153e-18
13,I13,2.5,2466212315379324.0,10.199434606470067,140,10.199581,-7.003972912850124,-7.003987265849578,5126,5127,0.8309422914626339,7.65834075388029e-15,7.688270355982744e-18,7.666029024236272e-15,False,997.5198773876618,7.685088987211226e-18
14,I14,3.0,2466241269296742.0,10.199554350251033,140,10.199581,-7.003972912850124,-7.003975525681355,5126,5127,0.9692246026916109,7.657343720445221e-15,7.684714234224632e-18,7.665028434679446e-15,False,997.851228110253,7.681534299652607e-18
15,I15,3.5,2466270223214160.0,10.199674094031996,141,10.200541,-7.003972912850124,-7.004057902735233,5125,5126,0.9989412825761974,7.628182256821096e-15,7.681159757310076e-18,7.635863416578407e-15,False,994.5144643745298,7.677981256291428e-18
16,I16,4.0,2466299177131577.5,10.19979383781296,141,10.200541,-7.003972912850124,-7.004046162842667,5126,5127,0.13722034695365437,7.627189319092383e-15,7.67760692447833e-18,7.634866926016862e-15,False,994.8448378458305,7.674429856367176e-18
17,NR00,-9.25,2465531898320001.5,10.19662062761739,138,10.196889,-7.003972912850124,-7.0039992322416875,5126,5127,0.6899953879383247,7.740252180874972e-15,7.772314593995065e-18,7.748024495468967e-15,False,997.287231154843,7.769100268632554e-18
18,NR01,-7.625,2465625998551610.0,10.197009794905528,139,10.197848,-7.003972912850124,-7.004055110539696,5126,5127,0.031829333659516124,7.71680530657111e-15,7.760636937273444e-18,7.724565943508384e-15,False,995.7639600690276,7.757426712825445e-18
19,NR02,-6.5,2465691144865800.5,10.197279218412698,139,10.197848,-7.003972912850124,-7.004028689073666,5126,5127,0.3430362362523738,7.714547505291112e-15,7.752562685303259e-18,7.722300067976416e-15,False,996.5086763449336,7.749355576411803e-18
