left_index,right_index,left_x,right_x,midpoint_x,forward_abs_s_inv,reverse_abs_s_inv,classification,current_owner,required_owner
100,101,-7.30153272680938585e+02,-6.96898541798816041e+02,-7.13525907239877370e+02,3.03135813190255864e-02,2.93950288277811667e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
101,102,-6.96898541798816041e+02,-6.64416302781728291e+02,-6.80657422290272166e+02,1.31308161757323367e-03,1.27420348480346843e-03,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
102,103,-6.64416302781728291e+02,-6.32702379997983030e+02,-6.48559341389855717e+02,3.69381359407212825e-02,3.58699514495936025e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
103,104,-6.32702379997983030e+02,-6.01756773447580144e+02,-6.17229576722781530e+02,3.40723030947294187e-03,3.31105237500749780e-03,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
104,105,-6.01756773447580144e+02,-5.71583658762219670e+02,-5.86670216104899964e+02,4.54265727438376149e-02,4.41758543051590583e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
105,106,-5.71583658762219670e+02,-5.42178860310194068e+02,-5.56881259536206926e+02,6.68289205961156933e-03,6.50351547344370489e-03,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
106,107,-5.42178860310194068e+02,-5.13542378091503565e+02,-5.27860619200848760e+02,5.64584754763946609e-02,5.49821381601632783e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
107,108,-5.13542378091503565e+02,-4.85678387737862806e+02,-4.99610382914683214e+02,1.17569280033383225e-02,1.14576819101636970e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
108,109,-4.85678387737862806e+02,-4.58582713617556976e+02,-4.72130550677709891e+02,7.10917797619437242e-02,6.93315701602704448e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
109,110,-4.58582713617556976e+02,-4.32255355730593635e+02,-4.45419034674075306e+02,1.95948007842046967e-02,1.91232299841592734e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
110,111,-4.32255355730593635e+02,-4.06696314076965336e+02,-4.19475834903779514e+02,9.08487055668945054e-02,8.87253836574329602e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
