native_index,energy_eV,doppler_x,support,Aup_s_inv,Adn_s_inv,Gamma_s_inv,Tvr_2s_s_inv,Tvr_2p_s_inv,Trv_2s_s_inv,Trv_2p_s_inv
0,5.17904319999999974e+00,-2.09602988438527973e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.25583086740088348e-09,-3.32432513768345261e-01,-0.00000000000000000e+00,-1.25583086740088348e-09,-0.00000000000000000e+00
1,5.33838789999999985e+00,-2.02949340628391183e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.32249819226210012e-09,-3.32165724026088904e-01,-0.00000000000000000e+00,-2.32249819226210012e-09,-0.00000000000000000e+00
2,5.49773270000000025e+00,-1.96295688642622663e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,4.29168168494370392e-09,-3.31630035398679301e-01,-0.00000000000000000e+00,-4.29168168494370392e-09,-0.00000000000000000e+00
3,5.65710460000000026e+00,-1.89640905060662662e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,7.92475401792906119e-09,-3.30821400607716365e-01,-0.00000000000000000e+00,-7.92475401792906119e-09,-0.00000000000000000e+00
4,5.81644930000000038e+00,-1.82987257250525872e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.46193579580758545e-08,-3.29733594066204727e-01,-0.00000000000000000e+00,-1.46193579580758545e-08,-0.00000000000000000e+00
5,5.97582120000000039e+00,-1.76332473668565908e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,2.69483010362113111e-08,-3.28358102470689306e-01,-0.00000000000000000e+00,-2.69483010362113111e-08,-0.00000000000000000e+00
6,6.13516589999999962e+00,-1.69678825858429118e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,4.97634499680660421e-08,-3.26684165745525612e-01,-3.07799157573907466e-04,-4.96231862834214528e-08,-1.40263684644587649e-10
7,6.29451059999999973e+00,-1.63025178048292328e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,9.15479363891758915e-08,-3.24698229101766989e-01,-3.09260491096343825e-04,-9.12870958035306479e-08,-2.60840585645238226e-10
8,6.45388260000000002e+00,-1.56370390290700634e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.68280405399087443e-07,-3.22384226160014331e-01,-3.25026060216978066e-04,-1.67772961978307219e-07,-5.07443420780233658e-10
9,6.61322730000000014e+00,-1.49716742480563826e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.08912129865730007e-07,-3.19722755208809273e-01,-3.29417195007467511e-04,-3.07960235806887468e-07,-9.51894058842527823e-10
10,6.77257200000000026e+00,-1.43063094670427035e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,5.66379801875322246e-07,-3.16691100010594973e-01,-3.35455528914716027e-04,-5.64585687134279948e-07,-1.79411474104234760e-09
11,6.93194390000000027e+00,-1.36408311088467035e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.03716232260623790e-06,-3.13262699588126692e-01,-3.43305225784467369e-04,-1.03376361171031017e-06,-3.39871089592780020e-09
12,7.09128860000000039e+00,-1.29754663278330245e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.89626798378466968e-06,-3.09406573330208212e-01,-3.53190484761655755e-04,-1.88979632347952610e-06,-6.47166030514351912e-09
13,7.25066050000000040e+00,-1.23099879696370263e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,3.46166492241666467e-06,-3.05086725408040438e-01,-3.65410853490921424e-04,-3.44927105886992274e-06,-1.23938635467419328e-08
14,7.41000519999999963e+00,-1.16446231886233491e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,6.30701802343828849e-06,-3.00261617165073658e-01,-3.80363660854475191e-04,-6.28314006481727551e-06,-2.38779586210126512e-08
15,7.56935000000000002e+00,-1.09792579900464989e+04,NATIVE_LEFT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.14672018739634420e-05,-2.94883171868249694e-01,-3.98576254095540494e-04,-1.14208910322437370e-05,-4.63108417197053358e-08
