state_a,state_b,local_order,broad_order,mean_amp2,relative_to_96_128
10,60,24,48,181971046351.1839,1.794159392277534e-07
10,60,48,64,181971013574.40726,-7.04927139450518e-10
10,60,64,96,181971013703.15564,2.5942396341591805e-12
10,60,96,128,181971013702.68356,0.0
28,41,24,48,351182721745.0882,-1.9283991811365403e-07
28,41,48,64,351182788790.7962,-1.9259268285420937e-09
28,41,64,96,351182789467.10565,-1.2218057413591962e-13
28,41,96,128,351182789467.14856,0.0
0,69,24,48,351182843256.004,-1.9283987832895144e-07
0,69,48,64,351182910301.71606,-1.925941630252521e-09
0,69,64,96,351182910978.031,-1.2200673309577736e-13
0,69,96,128,351182910978.07385,0.0
