public_name,source_member,source_sha256,source_function,source_lines,source_symbol,source_unit,public_unit,SI_factor,degeneracy,semantics,detailed_balance_partner,derivative
alpha_2s,HyRec/Alpha_inf.dat,c543c755d99ba8e999450dd5cb486a3ad88d26378da0ccc8363b10418e4832bd,hydrogen.c::interpolate_rates,142-219,Alpha[0],cm^3 s^-1,m^3 s^-1,1e-06,1,"effective recombination coefficient alpha(Tm,Tr)",beta_2s,"analytic local cubic JVP in log(Tr), Tm/Tr"
delta_alpha_2s,HyRec/Alpha_inf.dat,c543c755d99ba8e999450dd5cb486a3ad88d26378da0ccc8363b10418e4832bd,hydrogen.c::interpolate_rates,142-219,DAlpha[0],cm^3 s^-1,m^3 s^-1,1e-06,1,"alpha(Tm,Tr)-alpha(Tr,Tr); not a derivative",alpha_equilibrium,difference of analytic cubic JVPs
beta_2s,HyRec/Alpha_inf.dat,c543c755d99ba8e999450dd5cb486a3ad88d26378da0ccc8363b10418e4832bd,hydrogen.c::interpolate_rates,142-219,Beta[0],s^-1,s^-1,1.0,1,photoionization rate from detailed balance; 2p divided by 3,alpha_2s,analytic log(Tr) JVP
alpha_2p,HyRec/Alpha_inf.dat,c543c755d99ba8e999450dd5cb486a3ad88d26378da0ccc8363b10418e4832bd,hydrogen.c::interpolate_rates,142-219,Alpha[1],cm^3 s^-1,m^3 s^-1,1e-06,3,"effective recombination coefficient alpha(Tm,Tr)",beta_2p,"analytic local cubic JVP in log(Tr), Tm/Tr"
delta_alpha_2p,HyRec/Alpha_inf.dat,c543c755d99ba8e999450dd5cb486a3ad88d26378da0ccc8363b10418e4832bd,hydrogen.c::interpolate_rates,142-219,DAlpha[1],cm^3 s^-1,m^3 s^-1,1e-06,3,"alpha(Tm,Tr)-alpha(Tr,Tr); not a derivative",alpha_equilibrium,difference of analytic cubic JVPs
beta_2p,HyRec/Alpha_inf.dat,c543c755d99ba8e999450dd5cb486a3ad88d26378da0ccc8363b10418e4832bd,hydrogen.c::interpolate_rates,142-219,Beta[1],s^-1,s^-1,1.0,3,photoionization rate from detailed balance; 2p divided by 3,alpha_2p,analytic log(Tr) JVP
R_2p2s,HyRec/R_inf.dat,ce914f4b552ba55ba00f7916f36b0986f19adfdb638e5aefae91f7b2d05a8112,hydrogen.c::interpolate_rates,215-219,R2p2s,s^-1,s^-1,1.0,2p:2s=3:1 coupling,effective 2p to 2s rate,3*R_2p2s reverse multiplicity,analytic local cubic JVP in log(Tr)
A1s,HyRec/two_photon_tables.dat,93d23871e21c40f5b72a6ef9acf3eb7be054735c8aee9401e455736c1d9d8cf9,hydrogen.c::read_twog_params,273-315,A1s_tab,s^-1 per native bin,s^-1 per native bin,1.0,embedded in canonical table,3*A2p1s*phi(E)*DeltaE; native diffusion weight,native virtual-state operator,constant in PR-05A rate snapshot; thermodynamic factors belong to native operator
A2s,HyRec/two_photon_tables.dat,93d23871e21c40f5b72a6ef9acf3eb7be054735c8aee9401e455736c1d9d8cf9,hydrogen.c::read_twog_params,273-315,A2s_tab,s^-1 per native bin,s^-1 per native bin,1.0,embedded in canonical table,2s two-photon/Raman integrated-bin rate; sub-Lya sum normalized to 8.2206 s^-1,native virtual-state operator,constant in PR-05A rate snapshot; thermodynamic factors belong to native operator
A3s3d,HyRec/two_photon_tables.dat,93d23871e21c40f5b72a6ef9acf3eb7be054735c8aee9401e455736c1d9d8cf9,hydrogen.c::read_twog_params,273-315,A3s3d_tab,s^-1 per native bin,s^-1 per native bin,1.0,embedded in canonical table,3s+3d two-photon/Raman integrated-bin rate,native virtual-state operator,constant in PR-05A rate snapshot; thermodynamic factors belong to native operator
A4s4d,HyRec/two_photon_tables.dat,93d23871e21c40f5b72a6ef9acf3eb7be054735c8aee9401e455736c1d9d8cf9,hydrogen.c::read_twog_params,273-315,A4s4d_tab,s^-1 per native bin,s^-1 per native bin,1.0,embedded in canonical table,4s+4d two-photon/Raman integrated-bin rate,native virtual-state operator,constant in PR-05A rate snapshot; thermodynamic factors belong to native operator
