table,lambda,alpha,mode,S,dx_upper_dt,dx_ground_dt,photon_number_rate,photon_energy_J_per_H_s,atomic_energy_J_per_H_s,alpha_JVP_S
base,2,-1/8,raw,-0.09143420965838248,0.09143420965838248,-0.09143420965838248,-0.18286841931676495,-1.49404798366454e-19,1.49404798366454e-19,0.7819665765638644
base,2,0,raw,1.4235574524734673e-16,-1.4235574524734673e-16,1.4235574524734673e-16,2.8471149049469346e-16,2.3261131139482945e-34,-2.326113113948295e-34,0.6835940519071568
base,2,1/8,raw,0.08005769314728736,-0.08005769314728736,0.08005769314728736,0.16011538629457472,1.3081540866424885e-19,-1.3081540866424885e-19,0.5994844486431792
base,8,-1/8,raw,-7.878946293713452e-05,7.878946293713452e-05,-7.878946293713452e-05,-0.00015757892587426903,-1.2874310247230968e-22,1.2874310247230968e-22,0.0006484365947945932
base,8,0,raw,3.245194979168038e-20,-3.245194979168038e-20,3.245194979168038e-20,6.490389958336076e-20,5.302694728088352e-38,-5.30269472808835e-38,0.0006125531232069127
base,8,1/8,raw,7.44356101740606e-05,-7.44356101740606e-05,7.44356101740606e-05,0.0001488712203481212,1.2162884516517438e-22,-1.216288451651744e-22,0.0005787529643256611
base,32,-1/8,raw,-2.5640326613191848e-15,2.5640326613191848e-15,-2.5640326613191848e-15,-5.1280653226383695e-15,-4.189665817648104e-33,4.1896658176481046e-33,2.105275347369109e-14
base,32,0,raw,-1.35285023013537e-29,1.35285023013537e-29,-1.35285023013537e-29,-2.70570046027074e-29,-2.210576507508049e-47,2.210576507508049e-47,1.9981533466406496e-14
base,32,1/8,raw,2.4337243200755197e-15,-2.4337243200755197e-15,2.4337243200755197e-15,4.867448640151039e-15,3.9767401356553794e-33,-3.97674013565538e-33,1.896728632510768e-14
base,2,-1/8,normalized,-0.0913899548855635,0.0913899548855635,-0.0913899548855635,-0.182779909771127,-1.4933248543856328e-19,1.4933248543856328e-19,0.7815880994782396
base,2,0,normalized,1.9244588561617704e-16,-1.9244588561617704e-16,1.9244588561617704e-16,3.8489177123235407e-16,3.144593128147923e-34,-3.1445931281479232e-34,0.6832631877855044
base,2,1/8,normalized,0.08001894468502269,-0.08001894468502269,0.08001894468502269,0.16003788937004537,1.307520931260789e-19,-1.307520931260789e-19,0.599194294135557
base,8,-1/8,normalized,-7.875132830682664e-05,7.875132830682664e-05,-7.875132830682664e-05,-0.00015750265661365327,-1.2868078994428306e-22,1.2868078994428308e-22,0.00064812274711879
base,8,0,normalized,2.525216974001883e-20,-2.525216974001883e-20,2.525216974001883e-20,5.050433948003766e-20,4.1262404327865317e-38,-4.12624043278653e-38,0.0006122566433728507
base,8,1/8,normalized,7.439958283779107e-05,-7.439958283779107e-05,7.439958283779107e-05,0.00014879916567558214,1.2156997598556273e-22,-1.2156997598556273e-22,0.0005784728439959698
base,32,-1/8,normalized,-2.5627916522553857e-15,2.5627916522553857e-15,-2.5627916522553857e-15,-5.1255833045107715e-15,-4.18763799119627e-33,4.18763799119627e-33,2.10425637993266e-14
base,32,0,normalized,-1.4917097791256897e-29,1.4917097791256897e-29,-1.4917097791256897e-29,-2.9834195582513793e-29,-2.437474984518655e-47,2.437474984518655e-47,1.997186226973475e-14
base,32,1/8,normalized,2.4325463811258452e-15,-2.4325463811258452e-15,2.4325463811258452e-15,4.8650927622516905e-15,3.974815366666599e-33,-3.974815366666599e-33,1.895810603087812e-14
hires,2,-1/8,raw,-0.09143540913692524,0.09143540913692524,-0.09143540913692524,-0.1828708182738505,-1.494067583314441e-19,1.494067583314441e-19,0.7819767590923845
hires,2,0,raw,1.5222198501696482e-16,-1.5222198501696482e-16,1.5222198501696482e-16,3.0444397003392965e-16,2.4873288743209487e-34,-2.4873288743209487e-34,0.6836031079011842
hires,2,1/8,raw,0.08005876755802176,-0.08005876755802176,0.08005876755802176,0.1601175351160435,1.3081716426666217e-19,-1.3081716426666217e-19,0.5994926164435813
hires,8,-1/8,raw,-7.878877979327676e-05,7.878877979327676e-05,-7.878877979327676e-05,-0.00015757755958655353,-1.2874198620553487e-22,1.2874198620553487e-22,0.0006484304321519971
hires,8,0,raw,7.55976905424463e-20,-7.55976905424463e-20,7.55976905424463e-20,1.511953810848926e-19,1.2352770100669109e-37,-1.2352770100669109e-37,0.0006125483322082097
hires,8,1/8,raw,7.443508996137842e-05,-7.443508996137842e-05,7.443508996137842e-05,0.00014887017992275684,1.2162799513025663e-22,-1.2162799513025663e-22,0.0005787494103802645
hires,32,-1/8,raw,-2.5639647347625965e-15,2.5639647347625965e-15,-2.5639647347625965e-15,-5.127929469525193e-15,-4.189554824689028e-33,4.1895548246890284e-33,2.1052163947689192e-14
hires,32,0,raw,-5.636811761232562e-30,5.636811761232562e-30,-5.636811761232562e-30,-1.1273623522465124e-29,-9.210630548053295e-48,9.210630548053296e-48,1.998103484231991e-14
hires,32,1/8,raw,2.4336672713886094e-15,-2.4336672713886094e-15,2.4336672713886094e-15,4.867334542777219e-15,3.976646917289992e-33,-3.976646917289992e-33,1.896687094026913e-14
hires,2,-1/8,normalized,-0.09138974482096936,0.09138974482096936,-0.09138974482096936,-0.1827794896419387,-1.4933214219003027e-19,1.4933214219003027e-19,0.7815862273045961
hires,2,0,normalized,1.594861395726177e-16,-1.594861395726177e-16,1.594861395726177e-16,3.189722791452354e-16,2.606026192397518e-34,-2.6060261923975185e-34,0.683261705499179
hires,2,1/8,normalized,0.08001878492009935,-0.08001878492009935,0.08001878492009935,0.1600375698401987,1.3075183206792304e-19,-1.3075183206792306e-19,0.59919322017567
hires,8,-1/8,normalized,-7.874943140769807e-05,7.874943140769807e-05,-7.874943140769807e-05,-0.00015749886281539614,-1.286776903841416e-22,1.2867769038414161e-22,0.0006481065955507423
hires,8,0,normalized,4.939260873676639e-20,-4.939260873676639e-20,4.939260873676639e-20,9.878521747353278e-20,8.070822481739691e-38,-8.070822481739691e-38,0.0006122424157055738
hires,8,1/8,normalized,7.439791587862107e-05,-7.439791587862107e-05,7.439791587862107e-05,0.00014879583175724214,1.2156725215058227e-22,-1.2156725215058227e-22,0.0005784603736035455
hires,32,-1/8,normalized,-2.562684249479559e-15,2.562684249479559e-15,-2.562684249479559e-15,-5.125368498959118e-15,-4.187462493533783e-33,4.1874624935337835e-33,2.1041650157953487e-14
hires,32,0,normalized,-5.4141742596613974e-30,5.4141742596613974e-30,-5.4141742596613974e-30,-1.0828348519322795e-29,-8.846837705578591e-48,8.846837705578592e-48,1.9971055991710733e-14
hires,32,1/8,normalized,2.4324518587573196e-15,-2.4324518587573196e-15,2.4324518587573196e-15,4.864903717514639e-15,3.974660915772744e-33,-3.9746609157727444e-33,1.8957398579446475e-14
