table,lambda,alpha,mode,observable,dps,api_inputs_exact_value,api_inputs_exact_jvp,api_inputs_exact_plus,api_inputs_exact_minus,api_inputs_exact_jvp_scale,decimal_tokens_value,decimal_tokens_jvp,decimal_tokens_plus,decimal_tokens_minus,decimal_tokens_jvp_scale
base,2,-1/8,raw,S,80,-0.091434209658382482811051067575996093589031766438107436159809584489603576457454165,0.78196657656386434098032694406019488022681737933381648316922612447106404383498168,2.3942985903624219626968448004454625447980448399202286910274588793539597697520970,2.4857328000208044455078958680214586383870766063583361271872684638435633462095512,2.6857615494598228507223779661576784278892059925147972524156729684118707202008384,-0.091434209658382648988033558175774132094804053736867570845590332695797531248366783,0.78196657656386439232087577318020487417052826980292460605345829681199006701037715,2.3942985903624225477299233073568426987726826322234058931655544101105431406468056,2.4857328000208051967179568655326168308674866859602734640111447428063406718951724,2.6857615494598235698929203983617423470035365576182553499776679425465930232559041
base,2,-1/8,raw,1,80,-0.18286841931676496562210213515199218717806353287621487231961916897920715291490833,1.5639331531277286819606538881203897604536347586676329663384522489421280876699634,4.7885971807248439253936896008909250895960896798404573820549177587079195395041941,4.9714656000416088910157917360429172767741532127166722543745369276871266924191024,5.3715230989196457014447559323153568557784119850295945048313459368237414404016769,-0.18286841931676529797606711635154826418960810747373514169118066539159506249673357,1.5639331531277287846417515463604097483410565396058492121069165936239801340207543,4.7885971807248450954598466147136853975453652644468117863311088202210862812936112,4.9714656000416103934359137310652336617349733719205469280222894856126813437903447,5.3715230989196471397858407967234846940070731152365106999553358850931860465118083
base,2,-1/8,raw,u,80,-0.091434209658382482811051067575996093589031766438107436159809584489603576457454165,0.78196657656386434098032694406019488022681737933381648316922612447106404383498168,2.3942985903624219626968448004454625447980448399202286910274588793539597697520970,2.4857328000208044455078958680214586383870766063583361271872684638435633462095512,2.6857615494598228507223779661576784278892059925147972524156729684118707202008384,-0.091434209658382648988033558175774132094804053736867570845590332695797531248366783,0.78196657656386439232087577318020487417052826980292460605345829681199006701037715,2.3942985903624225477299233073568426987726826322234058931655544101105431406468056,2.4857328000208051967179568655326168308674866859602734640111447428063406718951724,2.6857615494598235698929203983617423470035365576182553499776679425465930232559041
base,2,-1/8,raw,u^2,80,-0.056345845105327183944283552955742155418084308271345777479721564582441085170358386,0.48181739510489627179150464810318985057685765219185308527032604594537992233584751,1.6802157943194521723756735871637196886536427289541243827134326420759830608114386,1.7365616394247793563199571401194618440717270372254701601931542066584241459817970,1.8727995804071707953078174973577654603215450479199720819711020516106127072943823,-0.056345845105327308190589737887207517380384954222426957036988925746830223566665041,0.48181739510489632622261780669745713496913368372992840661939335240302186975031375,1.6802157943194528258801824940706916506839473953460257180656740654566773260450953,1.7365616394247801340707722319578991680643323495684526751026629912035075496117604,1.8727995804071715633267680727312798714629193580902942880585446847501396302075813
base,2,-1/8,raw,window,80,-0.011473475777806709681061232840963578554874766968424662010266912677299676529041132,0.098116305127748537885703749475603040980170080847565849750940475435309001279146767,0.24011480004201459341763661992980911532104558097271616602552006420318436923353115,0.25158827581982130309869785277077269387592034794114082803578697688048404576257228,0.27261010089632652501714188206201080525865164817836950855084576236543777111454685,-0.011473475777806699909571854540305531853956428326366510531569784699711334007672895,0.098116305127748589709534166982797219102380765216311176575195393557801605410255134,0.24011480004201476107040933240017130066819217075788770714245846976864392861110785,0.25158827581982146097998118694047683252214859908425421767402825446835526261878074,0.27261010089632668548664379519009240655192467375852710054693852981988105344125847
base,2,-1/8,raw,S,120,-0.0914342096583824828110510675759960935890317664381074361598095844896035764574541646034431900089124874677880152765107813787,0.781966576563864340980326944060194880226817379333816483169226124471064043834981679227143941879541317295849976390486611612,2.39429859036242196269684480044546254479804483992022869102745887935395976975209703085849717540562794940921881522340729889,2.48573280002080444550789586802145863838707660635833612718726846384356334620955119546194036541454043687700683049991808027,2.68576154945982285072237796615767842788920599251479725241567296841187072020083842794332937876820445265471939650695988026,-0.0914342096583826489880335581757741320948040537368675708455903326957975312483667830299941101347556727279900083725188935027,0.781966576563864392320875773180204874170528269802924606053458296811990067010377152800340725936333524327458752137023584182,2.39429859036242254772992330735684269877268263222340589316555441011054314064680559408092961675524665961396313324711894593,2.48573280002080519671795686553261683086748668596027346401114474280634067189517237711092372689000233234195314161963783943,2.68576154945982356989292039836174234700353655761825534997766794254659302325590415703677272682300462762349115576508502506
base,2,-1/8,raw,1,120,-0.182868419316764965622102135151992187178063532876214872319619168979207152914908329206886380017824974935576030553021562757,1.56393315312772868196065388812038976045363475866763296633845224894212808766996335845428788375908263459169995278097322322,4.78859718072484392539368960089092508959608967984045738205491775870791953950419406171699435081125589881843763044681459779,4.97146560004160889101579173604291727677415321271667225437453692768712669241910239092388073082908087375401366099983616054,5.37152309891964570144475593231535685577841198502959450483134593682374144040167685588665875753640890530943879301391976052,-0.182868419316765297976067116351548264189608107473735141691180665391595062496733566059988220269511345455980016745037787005,1.56393315312772878464175154636040974834105653960584921210691659362398013402075430560068145187266704865491750427404716836,4.78859718072484509545984661471368539754536526444681178633110882022108628129361118816185923351049331922792626649423789186,4.97146560004161039343591373106523366173497337192054692802228948561268134379034475422184745378000466468390628323927567887,5.37152309891964713978584079672348469400707311523651069995533588509318604651180831407354545364600925524698231153017005013
base,2,-1/8,raw,u,120,-0.0914342096583824828110510675759960935890317664381074361598095844896035764574541646034431900089124874677880152765107813787,0.781966576563864340980326944060194880226817379333816483169226124471064043834981679227143941879541317295849976390486611612,2.39429859036242196269684480044546254479804483992022869102745887935395976975209703085849717540562794940921881522340729889,2.48573280002080444550789586802145863838707660635833612718726846384356334620955119546194036541454043687700683049991808027,2.68576154945982285072237796615767842788920599251479725241567296841187072020083842794332937876820445265471939650695988026,-0.0914342096583826489880335581757741320948040537368675708455903326957975312483667830299941101347556727279900083725188935027,0.781966576563864392320875773180204874170528269802924606053458296811990067010377152800340725936333524327458752137023584182,2.39429859036242254772992330735684269877268263222340589316555441011054314064680559408092961675524665961396313324711894593,2.48573280002080519671795686553261683086748668596027346401114474280634067189517237711092372689000233234195314161963783943,2.68576154945982356989292039836174234700353655761825534997766794254659302325590415703677272682300462762349115576508502506
base,2,-1/8,raw,u^2,120,-0.0563458451053271839442835529557421554180843082713457774797215645824410851703583858513277191332337928405078242951503602496,0.481817395104896271791504648103189850576857652191853085270326045945379922335847507887417131652158071290021671110257365095,1.68021579431945217237567358716371968865364272895412438271343264207598306081143860541303495588968488891075015452029596151,1.73656163942477935631995714011946184407172703722547016019315420665842414598179699126436267502291868175125797881544632176,1.87279958040717079530781749735776546032154504791997208197110205161061270729438227209109385997968631237261163128291987510,-0.0563458451053273081905897378872075173803849542224269570369889257468302235666650406702507535254133686665111925254976583783,0.481817395104896326222617806697457134969133683729928406619393352403021869750313745522706737522079101266423785356588381445,1.68021579431945282588018249407069165068394739534602571806567406545667732604509533229961558596945952082517657794914890124,1.73656163942478013407077223195789916806433234956845267510266299120350754961176037296986633949487288949168777047464655962,1.87279958040717156332676807273127987146291935809029428805854468475013963020758127669115924625006562539333608691436447421
base,2,-1/8,raw,window,120,-0.0114734757778067096810612328409635785548747669684246620102669126772996765290411324105604446579439460103335055736074223768,0.0981163051277485378857037494756030409801700808475658497509404754353090012791467670291722056339439149945463483121147653698,0.240114800042014593417636619929809115321045580972716166025520064203184369233531150741755053660560014672149150792692373446,0.251588275819821303098697852770772693875920347941140828035786976880484045762572283152315498318503960682482656366299795823,0.272610100896326525017141882062010805258651648178369508550845762365437771114546847092162176325519032467473571058309860563,-0.0114734757778066999095718545403055318539564283263665105315697846997113340076728947797361962479213620615297365100263427639,0.0981163051277485897095341669827972191023807652163111765751953935578016054102551337012849586912085687323747165117498634456,0.240114800042014761070409332400171300668192170757887707142458469768643928611107848454276682503882035261980267410259529173,0.251588275819821460979981186940476832522148599084254217674028254468355262618780743234012878751803397323510003920285871936,0.272610100896326685486643795190092406551924673758527100546938529819881053441258467275325500158485726056229536945427913632
