table,lambda,alpha,mode,observable,value_API_per_H_s,alpha_JVP_API_per_H_s,A_plus,A_minus,positive_scale,jvp_component_scale,abs_net_over_positive,cancellation_fraction,API_exact_abs_residual,API_exact_scaled_residual,API_JVP_exact_abs_residual,API_JVP_exact_scaled_residual,decimal120_value,decimal120_alpha_JVP,decimal120_positive_scale,API_minus_decimal120,API_JVP_minus_decimal120
base,2,-1/8,raw,S,-0.09143420965838248,0.7819665765638644,2.394298590362422,2.4857328000208043,4.880031390383227,2.685761549459823,0.018736397851572464,0.9812636021484276,6.872896824053847e-18,1.4083714374456352e-18,2.7429568233986814e-17,1.0212957378700882e-17,-0.0914342096583826489880335581757741320948040537368675708455903326957975312483667830299941101347556727279900083725188935027,0.781966576563864392320875773180204874170528269802924606053458296811990067010377152800340725936333524327458752137023584182,4.88003139038322774444788017288945952964016931818367935717669915291688381254197797119185334364524899195591627486675678536,0.000000000000000173049879314653625087074462180567922258345590332695797531248366783029994110134755672727990008372518893502695504990343807,-0.0000000000000000239109805951331960617430075178497996060534582968119900670103771528003407259363335243274587521370235841819643959205088832
base,2,-1/8,raw,1,-0.18286841931676495,1.5639331531277287,4.788597180724844,4.971465600041609,9.760062780766454,5.371523098919646,0.018736397851572464,0.9812636021484276,1.3745793648107694e-17,1.4083714374456352e-18,5.485913646797363e-17,1.0212957378700882e-17,-0.182868419316765297976067116351548264189608107473735141691180665391595062496733566059988220269511345455980016745037787005,1.56393315312772878464175154636040974834105653960584921210691659362398013402075430560068145187266704865491750427404716836,9.76006278076645548889576034577891905928033863636735871435339830583376762508395594238370668729049798391183254973351357073,0.000000000000000346099758629307250174148924361135844516691180665391595062496733566059988220269511345455980016745037787005003750789202681,-0.0000000000000000478219611902663921234860150356995992121069165936239801340207543056006814518726670486549175042740471683600561999261684481
base,2,-1/8,raw,u,-0.09143420965838248,0.7819665765638644,2.394298590362422,2.4857328000208043,4.880031390383227,2.685761549459823,0.018736397851572464,0.9812636021484276,6.872896824053847e-18,1.4083714374456352e-18,2.7429568233986814e-17,1.0212957378700882e-17,-0.0914342096583826489880335581757741320948040537368675708455903326957975312483667830299941101347556727279900083725188935027,0.781966576563864392320875773180204874170528269802924606053458296811990067010377152800340725936333524327458752137023584182,4.88003139038322774444788017288945952964016931818367935717669915291688381254197797119185334364524899195591627486675678536,0.000000000000000173049879314653625087074462180567922258345590332695797531248366783029994110134755672727990008372518893502695504990343807,-0.0000000000000000239109805951331960617430075178497996060534582968119900670103771528003407259363335243274587521370235841819643959205088832
base,2,-1/8,raw,u^2,-0.05634584510532718,0.4818173951048963,1.6802157943194522,1.7365616394247794,3.4167774337442314,1.8727995804071709,0.01649093223013397,0.983509067769866,8.998533247908861e-19,2.63363166679778e-19,2.3729752695249583e-17,1.2670737938808395e-17,-0.0563458451053273081905897378872075173803849542224269570369889257468302235666650406702507535254133686665111925254976583783,0.481817395104896326222617806697457134969133683729928406619393352403021869750313745522706737522079101266423785356588381445,3.41677743374423295995095472602859081874827974491447839316833705666018487565685570526948192546433241031686434842379546086,0.000000000000000125146159509722351428101329358824477738286988925746830223566665040670250753525413368666511192525497658378301723319022446,-0.0000000000000000307013604633446848394941275802143034066193933524030218697503137455227067375220791012664237853565883814449891800079968378
base,2,-1/8,raw,window,-0.011473475777806717,0.09811630512774853,0.2401148000420146,0.2515882758198213,0.4917030758618359,0.27261010089632653,0.023334154983058634,0.9766658450169413,7.262635175054495e-18,1.4770367588864197e-17,3.0323435089714866e-18,1.1123371800976241e-17,-0.0114734757778066999095718545403055318539564283263665105315697846997113340076728947797361962479213620615297365100263427639,0.0981163051277485897095341669827972191023807652163111765751953935578016054102551337012849586912085687323747165117498634456,0.491703075861836222050390519340648133190340769842141924816486724236999191229888591688289561255685432585490271330545401109,-0.0000000000000000170341245533551533012276913253891486261871802153002886659923271052202638037520786379384702634899736572361003421472904737,-0.0000000000000000548561739264786807006794195301699244578251953935578016054102551337012849586912085687323747165117498634455966499218615276
base,2,0,raw,S,1.4235574524734673e-16,0.6835940519071568,2.28156731783111,2.28156731783111,4.56313463566222,2.3924394146577552,3.11969197960532e-17,1.0,1.5744213755938752e-17,3.45030664510601e-18,6.089291145972192e-17,2.545222716472961e-17,0.0,0.683594051907156807286376835803447808123698193204674091517828371022027901121808107888043365219121225603275708236282825213,4.56313463566222158191634750316952012844948955262833000530893439346647341184746169826526203489372350005406140901879777652,0.000000000000000142355745247346732185178552754223346710205078125000000000000000000000000000000000000000000000000000000000000000000000000,0.0000000000000000226972148701646900223721361573812634084821716289779720988781918921119566347808787743967242917637171747869929764474419139
base,2,0,raw,1,2.8471149049469346e-16,1.3671881038143137,4.56313463566222,4.56313463566222,9.12626927132444,4.7848788293155105,3.11969197960532e-17,1.0,3.1488427511877503e-17,3.45030664510601e-18,1.2178582291944384e-16,2.545222716472961e-17,0.0,1.36718810381431361457275367160689561624739638640934818303565674204405580224361621577608673043824245120655141647256565043,9.12626927132444316383269500633904025689897910525666001061786878693294682369492339653052406978744700010812281803759555304,0.000000000000000284711490494693464370357105508446693420410156250000000000000000000000000000000000000000000000000000000000000000000000000,0.0000000000000000453944297403293800447442723147625268169643432579559441977563837842239132695617575487934485835274343495699197313842920437
base,2,0,raw,u,1.4235574524734673e-16,0.6835940519071568,2.28156731783111,2.28156731783111,4.56313463566222,2.3924394146577552,3.11969197960532e-17,1.0,1.5744213755938752e-17,3.45030664510601e-18,6.089291145972192e-17,2.545222716472961e-17,0.0,0.683594051907156807286376835803447808123698193204674091517828371022027901121808107888043365219121225603275708236282825213,4.56313463566222158191634750316952012844948955262833000530893439346647341184746169826526203489372350005406140901879777652,0.000000000000000142355745247346732185178552754223346710205078125000000000000000000000000000000000000000000000000000000000000000000000000,0.0000000000000000226972148701646900223721361573812634084821716289779720988781918921119566347808787743967242917637171747869929764474419139
base,2,0,raw,u^2,1.0354702911383311e-16,0.42134101818680775,1.5979732659239534,1.5979732659239532,3.1959465318479063,1.6661697346044462,3.239948731368853e-17,1.0,1.1121672799236811e-17,3.479930808731717e-18,5.364014775405729e-18,3.2193687497745613e-18,0.0,0.421341018186807786882946531181682970028204761040530843214571786995983124214553517207712381574553855557619398645407561013,3.19594653184790796734359383156262451220209316621898182227327765142241760960384548248917530445548104884750999254623212608,0.000000000000000103547029113833108187372898838548090393254628332250083522225736487598624080419540405273437500000000000000000000000000000,-0.0000000000000000393464978439394553635528515200737339682145717869959831242145535172077123815745538555576193986454075610129850971673753889
base,2,0,raw,window,3.2952431941952528e-18,0.08578783508379886,0.2297415276798609,0.2297415276798609,0.4594830553597218,0.24364266295775133,7.171631588493423e-18,1.0,3.3431092920880374e-18,7.27580539280338e-18,1.413266820237926e-19,5.800572047117184e-19,0.0,0.0857878350837989298303308987569277356881574331360318125640342440602979461629565364529449993344310831774708141242244091488,0.459483055359722092073351896872866827026444290170298691557164879176884009951561598109025267560122908659402274762750973542,0.00000000000000000329524319419525278941924763951283979675170366449717899298699208543439453933387994766235351562500000000000000000000000000,-0.0000000000000000663633780322824701848942712484436490000640342440602979461629565364529449993344310831774708141242244091487986675932899844
