b,source_line,energy_eV,normalized_A2s_s_inv,companion_eV,C_s_inv,D_s_inv,C_reference_80dps,D_reference_80dps,dC_dlogTheta_s_inv,dD_dlogTheta_s_inv,C_JVP,D_JVP,coefficient_relative_error,literal_exp_relative_error,temperature_derivative_relative_error,JVP_component_scaled_error
0,1,5.1790432,0.3324325125125144,5.0196713539537425,0.3638280754874231,1.374433933807566e-09,0.363828075487423032649045578868,0.00000000137443393380756812699093064682,2.6655978022149214e-08,2.6655978022149214e-08,-0.2364882394706729,8.702770030998785e-09,1.52308760956348e-15,0.0,1.446145429792946e-15,1.1196281660240944e-15
1,2,5.3383879,0.3321657217035907,4.860326653953742,0.363536089612201,2.541839358717385e-09,0.363536089612201000346299502225,0.00000000254183935871738603400156698489,4.77319336742143e-08,4.77319336742143e-08,-0.23629844106443454,1.5531300539550844e-08,4.3215877842161666e-16,0.0,2.862576806313135e-16,1.3993264697802906e-16
2,3,5.4977327,0.3316300311069976,4.700981853953742,0.36294980952737527,4.696996302611273e-09,0.362949809527375284251109799163,0.00000000469699630261127015556155933097,8.531084930930055e-08,8.531084930930055e-08,-0.2359173454808882,2.7658858154650883e-08,6.036090773513839e-16,0.0,4.9250221483043e-16,3.674258028409024e-16
3,4,5.6571046,0.33082139268296235,4.541609953953742,0.3620648057218413,8.673182927779253e-09,0.36206480572184127202366219061,0.0000000086731829277792528186636076889,1.5218919386138235e-07,1.5218919386138235e-07,-0.23534206893108706,4.9150540887041126e-08,7.316367072755175e-17,0.0,1.52838067517636e-17,4.845449266545358e-17
4,5,5.8164493,0.3297335794468468,4.382265253953742,0.36087426465227374,1.6000038054204788e-08,0.360874264652273695463183437698,0.0000000160000380542047671768844155117,2.7090384124611054e-07,2.7090384124611054e-07,-0.23456817449859507,8.71253581133668e-08,1.3060353306166242e-15,0.0,1.3655834565840725e-15,1.0624024985814664e-15
5,6,5.9758212,0.32835807552238827,4.222893353953742,0.35936886900257425,2.9493350071325346e-08,0.359368869002574290573665820479,0.0000000294933500713253302534329056755,4.812045465148542e-07,4.812045465148542e-07,-0.23358959161803652,1.540629591989861e-07,5.41133549655088e-16,0.0,3.3065629044783344e-16,2.40620774718994e-16
6,7,6.1351659,0.32668411612233933,4.063548653953743,0.3575368424949974,5.4309694802092115e-08,0.357536842494997406081721965346,0.0000000543096948020921227246304751754,8.526648480107976e-07,8.526648480107976e-07,-0.23239864066240304,2.7165804366252723e-07,1.412364624600441e-16,0.0,2.0014424304217262e-16,1.317949491826665e-17
7,8,6.2945106,0.3246981378146712,3.9042039539537425,0.3553633502004316,9.990842353699142e-08,0.35536335020043159672210249179,0.0000000999084235369914906143555066071,1.5070587823358455e-06,1.5070587823358455e-06,-0.2309856350891189,4.776006863418597e-07,6.82981020193156e-16,0.0,7.763534743079996e-16,2.941034567093929e-16
8,9,6.4538826,0.32238405838705236,3.7448319539537422,0.3528308083999121,1.8361776104105161e-07,0.352830808399912084467158230547,0.000000183617761041051560569904420923,2.6567012141629173e-06,2.6567012141629173e-06,-0.22933906904750576,8.370608924219669e-07,2.9095715576565653e-16,0.0,3.5604192082553762e-16,2.734629242046438e-16
9,10,6.6132273,0.31972244724857346,3.585487253953742,0.3499179830472831,3.370445888405213e-07,0.349917983047283089493424576067,0.000000337044588840521385613107578111,4.669081204064562e-06,4.669081204064562e-06,-0.22744500811150056,1.461790250716903e-06,2.502505670307073e-16,0.0,1.3911385478293026e-16,8.177929442569948e-17
