eta,read_kind,gamma,affinity_read,affinity_scatter,entropy_rate,pair_entropy_rate,C0,C1,number_residual,energy_residual_E0,reference_gap_80_120,scaled_api_error,reference_entropy_rate_120
-0.25,chi,-0.037795461315481366,-0.25,-0.25,0.009448865328870334,0.009448865328870341,-0.2519697421032091,-0.02519697421032091,0.0,0.0,4.46075664681397097341122525211219342076407647675352905830982202990261620506492261471800182453017228866584784379256344283E-80,4.4408920985006264e-17,0.00944886532887034043562342550836909269978076216444087808077629888030798004347766541182306888909049977585982889964827700871
-0.25,log_control,-0.006780304014645383,-0.05258801482901987,-0.25,0.001695076003661344,0.00035656272806743435,-0.04520202676430255,-0.004520202676430255,0.0,0.0,4.00743340687519801458738995736722753676955234880599995715667900594648930831698355989035933588762380036300954206868624868E-80,4.746399864361692e-16,0.00169507600366134824852816212446561392980003995169561373854325931546373629662035036456054191561269676178494209618444665248
-0.125,chi,-0.019842916699674945,-0.125,-0.125,0.0024803645874593647,0.002480364587459368,-0.1322861113311663,-0.01322861113311663,0.0,0.0,8.00608875158100723974992899964744520234493036629904763489635188476530651551427887570540151081327436203158032909725834958E-80,8.635067969306773e-17,0.00248036458745936512650103638512436364296649304401944971432692457707315683871365699650277071202175695953416365826330455041
-0.125,log_control,0.009823386150496466,0.07241198517098013,-0.125,-0.0012279232688120582,0.0007113308922585617,0.06548924100330977,0.006548924100330977,0.0,0.0,4.73689813121166874866697732170618407558728531983417524105801642543177846604262328282762031150934310740909161825582749869E-80,3.493995553875222e-16,-0.00122792326881205925134745362602117834940517228505830621776375900884809262773200548334478529451186748010554901068933298772
-0.0625,chi,-0.010166260932480464,-0.0625,-0.0625,0.0006353913082800255,0.000635391308280029,-0.0677750728832031,-0.006777507288320309,0.0,0.0,8.56772209086365613941602803580925180296555696703298079128432521931493170344052670050452701360539043135602697333845375336E-80,1.1697228512094336e-16,0.000635391308280030317502592197393016003177733802850880619961335728013206442956771876965560457985099723531709498014110948119
-0.0625,log_control,0.018772991770847874,0.13491198517098013,-0.0625,-0.001173311985677987,0.0025327015874035603,0.12515327847231916,0.012515327847231916,0.0,0.0,8.56772209086365613941602803580925180296555696703298079128432521931493170344052670050452701360539043135602697333845375336E-80,4.1575451808679766e-16,-0.00117331198567799118759370128202716975210997648314240350712877862123622437590366814868680150911437308721341698146620171509
0.0,chi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00544108115544095458843864866751958939842340082243664728615968144761495836423793909501426059056241075402493360556992855E-79,7.249460280707363e-19,7.09488103880974620957791053367001223647523707884175760382601664168813930731853346593521767956927816769186400273479471421E-38
0.0,log_control,0.028175416344814574,0.19741198517098013,0.0,0.0,0.005562164873648726,0.1878361089654305,0.018783610896543047,0.0,0.0,1.00544108115544095458843864866751958939842340082243664728615968144761495836423793909501426059056241075402493360556992855E-79,3.94053835529562e-16,-1.83830905515713676479045654353592986505022616032639532355421958770570872939620891635248487269345019592582610268896366621E-20
0.0625,chi,0.010672596118320998,0.062499999999999556,0.062499999999999556,0.0006670372573950589,0.0006670372573950576,0.07115064078880666,0.007115064078880665,0.0,0.0,7.44631446764304056240904481366330935559248374587433444222811229397163164673951341667164521525274030852603916742580130113E-80,3.004132890162189e-16,0.000667037257395061082483534703896457022916490953191806809462822660649448006039866981585301477001628398063707282917083696469
0.0625,log_control,0.0380461328921656,0.2599119851709797,0.062499999999999556,0.002377883305760345,0.009888645928081669,0.2536408859477707,0.025364088594777068,0.0,0.0,3.52387201887529516656680564242006459543178240034438595233335275984974997431011479741944587613876877607863995072282574181E-80,3.004132890162189e-16,0.00237788330576034437692739558754689487648098690838365885921659408595735963165924023719791706840737157383602879446561488214
0.25,chi,0.045889375126636545,0.24999999999999978,0.24999999999999978,0.011472343781659136,0.011472343781659126,0.3059291675109103,0.030592916751091027,0.0,0.0,5.25351558288707689018613255750134525032116457759118088136448352251945922117039822307639891909483811733645589569559065595E-80,6.66133814775094e-17,0.0114723437816591294907938096972771690051753982206248262621800562568929941268081878833953745746854950814609556038576854765
0.25,log_control,0.07061691880479415,0.4474119851709799,0.24999999999999978,0.01765422970119851,0.031594855829110854,0.47077945869862764,0.04707794586986276,0.0,0.0,5.25351558288707689018613255750134525032116457759118088136448352251945922117039822307639891909483811733645589569559065595E-80,2.68464032770119e-16,0.0176542297011985279696955872235165689935616724692075297845957814934833264920253600308560077656134290764368558523338022774
