table,read,photon_axis,scaled_primal_error,scaled_jvp_error,precision_80_120,central_step_refinement
base,chi,0,2.5510852358984856e-17,1.3106377472289092e-17,1.067005970218124613996173e-72,5.132846093035282874885716e-22
base,chi,2,2.5510852358984856e-17,4.171819400415124e-17,2.001114796600238693307867e-72,1.016557817249312730262678e-20
base,chi,3,2.5510852358984856e-17,6.775169315291072e-17,1.989977806258827692926994e-72,4.216958943459079236716428e-21
base,chi,4,2.5510852358984856e-17,5.792020668468731e-17,1.958067997486968502226426e-72,5.241873669078759632969717e-21
base,log_control,0,7.177001218841824e-17,6.609504766658266e-18,3.013169739157007237397236e-72,4.325587570523386536796008e-22
base,log_control,2,7.177001218841824e-17,2.35494345329086e-17,2.178360587295966482604641e-72,1.035879669964794620384395e-20
base,log_control,3,7.177001218841824e-17,6.785699912266025e-17,1.686706159365442955851073e-72,4.12061886494820435287748e-21
base,log_control,4,7.177001218841824e-17,6.094070777062828e-17,1.02384962556515023429412e-72,4.792963852525836270472974e-21
hires,chi,0,1.1210599110571854e-16,3.931646260560899e-17,2.174063284785901626913423e-72,5.132711236512270098643977e-22
hires,chi,2,1.1210599110571854e-16,4.1734032356030035e-17,5.541777653975867977800623e-73,1.01340657475774225150328e-20
hires,chi,3,1.1210599110571854e-16,8.49796017985836e-17,3.55027848540387402878677e-72,4.218778947689561897422171e-21
hires,chi,4,1.1210599110571854e-16,1.2544055753189191e-17,7.301382900215977180845631e-73,5.2420895042781705340424e-21
hires,log_control,0,3.801139800889614e-17,3.366810534946307e-18,7.4068210356952113795791e-73,4.324538914841136952118689e-22
hires,log_control,2,3.801139800889614e-17,4.175750557713054e-17,3.10287194309779203090923e-73,1.032759399527466605344546e-20
hires,log_control,3,3.801139800889614e-17,4.490991417755047e-17,1.624040839841893061558734e-72,4.12186759677126038029325e-21
hires,log_control,4,3.801139800889614e-17,1.2643963170768713e-17,3.069132975743465444611755e-73,4.793204212250286815946698e-21
