table,case,read,nodes,h_grid,peak_C
base,curved_emission,chi,5,0.2499999995343387,0.411619433291648
base,curved_emission,log_control,5,0.2499999995343387,0.4216232221463965
base,curved_emission,chi,9,0.12499999976716936,0.41705193396009876
base,curved_emission,log_control,9,0.12499999976716936,0.4194863475185624
base,curved_emission,chi,17,0.06249999988358468,0.41832027477914113
base,curved_emission,log_control,17,0.06249999988358468,0.4189383740580953
base,curved_emission,chi,33,0.03124999994179234,0.41862343280756525
base,curved_emission,log_control,33,0.03124999994179234,0.4187916937860045
base,curved_emission,chi,65,0.01562499997089617,0.4186654499026522
base,curved_emission,log_control,65,0.01562499997089617,0.4187215029154605
base,curved_emission,chi,129,0.007812499985448085,0.8373567072979486
base,curved_emission,log_control,129,0.007812499985448085,0.8373567192101021
base,curved_absorption,chi,5,0.2499999995343387,0.3636352063306293
base,curved_absorption,log_control,5,0.2499999995343387,0.3446589347272792
base,curved_absorption,chi,9,0.12499999976716936,0.3617379992746103
base,curved_absorption,log_control,9,0.12499999976716936,0.35678729655907526
base,curved_absorption,chi,17,0.06249999988358468,0.36286303467711123
base,curved_absorption,log_control,17,0.06249999988358468,0.3614471245691814
base,curved_absorption,chi,33,0.03124999994179234,0.363172955591714
base,curved_absorption,log_control,33,0.03124999994179234,0.36275358318124556
base,curved_absorption,chi,65,0.01562499997089617,0.3632080514359826
base,curved_absorption,log_control,65,0.01562499997089617,0.3630685754684183
base,curved_absorption,chi,129,0.007812499985448085,0.7262861787695076
base,curved_absorption,log_control,129,0.007812499985448085,0.7262861727719969
base,affine_balance,chi,5,0.2499999995343387,1.0440563044276736e-16
base,affine_balance,log_control,5,0.2499999995343387,0.05808221955804325
base,affine_balance,chi,9,0.12499999976716936,9.575653061322004e-17
base,affine_balance,log_control,9,0.12499999976716936,0.02110855416994973
base,affine_balance,chi,17,0.06249999988358468,3.275156773244262e-16
base,affine_balance,log_control,17,0.06249999988358468,0.006650515374820386
base,affine_balance,chi,33,0.03124999994179234,1.9984250989974576e-16
base,affine_balance,log_control,33,0.03124999994179234,0.0018911616646646347
base,affine_balance,chi,65,0.01562499997089617,2.2202282314326146e-16
base,affine_balance,log_control,65,0.01562499997089617,0.0005010564693369947
base,affine_balance,chi,129,0.007812499985448085,7.104970600602796e-16
base,affine_balance,log_control,129,0.007812499985448085,0.00012951913836137084
hires,curved_emission,chi,5,0.2499999995343387,0.4111945166569956
hires,curved_emission,log_control,5,0.2499999995343387,0.42121631245967545
hires,curved_emission,chi,9,0.12499999976716936,0.4155967095242595
hires,curved_emission,log_control,9,0.12499999976716936,0.4180408847093265
hires,curved_emission,chi,17,0.06249999988358468,0.42133165492855473
hires,curved_emission,log_control,17,0.06249999988358468,0.4219186170864779
hires,curved_emission,chi,33,0.03124999994179234,0.42814285168551613
hires,curved_emission,log_control,33,0.03124999994179234,0.4282744795803569
hires,curved_emission,chi,65,0.01562499997089617,0.466867782690543
hires,curved_emission,log_control,65,0.01562499997089617,0.46688467573396275
hires,curved_emission,chi,129,0.007812499985448085,0.7801194200020892
hires,curved_emission,log_control,129,0.007812499985448085,0.780128112171611
hires,curved_absorption,chi,5,0.2499999995343387,0.36327497688530663
hires,curved_absorption,log_control,5,0.2499999995343387,0.34426547315511946
hires,curved_absorption,chi,9,0.12499999976716936,0.3622467119644623
hires,curved_absorption,log_control,9,0.12499999976716936,0.3573192313406408
hires,curved_absorption,chi,17,0.06249999988358468,0.3632062865757087
hires,curved_absorption,log_control,17,0.06249999988358468,0.36205783195869184
hires,curved_absorption,chi,33,0.03124999994179234,0.36841737428610577
hires,curved_absorption,log_control,33,0.03124999994179234,0.3681767111719346
hires,curved_absorption,chi,65,0.01562499997089617,0.40162329809740127
hires,curved_absorption,log_control,65,0.01562499997089617,0.4015924138213259
hires,curved_absorption,chi,129,0.007812499985448085,0.6670133354641099
hires,curved_absorption,log_control,129,0.007812499985448085,0.6669976811805697
hires,affine_balance,chi,5,0.2499999995343387,8.252756979200028e-17
hires,affine_balance,log_control,5,0.2499999995343387,0.05807918660833468
hires,affine_balance,chi,9,0.12499999976716936,8.619507836821207e-17
hires,affine_balance,log_control,9,0.12499999976716936,0.021074184792569506
hires,affine_balance,chi,17,0.06249999988358468,9.986586876201997e-17
hires,affine_balance,log_control,17,0.06249999988358468,0.00661806661821854
hires,affine_balance,chi,33,0.03124999994179234,1.614730671131452e-16
hires,affine_balance,log_control,33,0.03124999994179234,0.0018789747158369004
hires,affine_balance,chi,65,0.01562499997089617,2.9808194630091155e-16
hires,affine_balance,log_control,65,0.01562499997089617,0.0005017837213592884
hires,affine_balance,chi,129,0.007812499985448085,2.847217675732635e-16
hires,affine_balance,log_control,129,0.007812499985448085,0.00012952164070096132
