table,case,read,power,nodes_from,nodes_to,absolute_error_order,absolute_jvp_error_order,interpretation
base,affine_balance,chi,0,5,9,8.262627328040743,2.0189351079813656,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,0,9,17,-8.292974928246513,1.9837303301105491,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,0,17,33,3.340789331725164,1.9084765643117496,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,0,33,65,-1.5985669999813135,1.6851243980102673,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,0,65,129,-0.5358965342293089,4.292318907756072,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,1,5,9,8.262627328040589,2.0189351079815268,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,1,9,17,-8.292974928246357,1.9837303301103877,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,1,17,33,3.340789331725164,1.9084765643117496,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,1,33,65,-1.5985669999813135,1.6851243980102673,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,1,65,129,-0.5358965342293066,4.292318907605042,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,2,5,9,5.009641063900912,2.0063955413109182,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,2,9,17,-4.470159421195296,1.9789820323194285,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,2,17,33,1.701084816548357,1.9038032733021832,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,2,33,65,0.47402225788715147,1.6734349022893604,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,2,65,129,-1.2700352323408224,4.475606546627122,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,4,5,9,3.717701207796898,2.0278497321432876,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,4,9,17,-1.603306604488253,1.9895963758589934,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,4,17,33,-0.5841201577333339,1.916002905310554,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,4,33,65,2.542766469004407,1.7056515403462984,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,chi,4,65,129,-2.059213501282069,4.013676268937681,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,0,5,9,2.024998529686004,2.0046623490820714,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,0,9,17,2.0903978461709243,2.0932017822352424,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,0,17,33,2.0512057649494597,2.063273799567765,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,0,33,65,1.8888905769719342,1.9101195432469242,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,0,65,129,3.042271953205423,2.9497563894742767,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,1,5,9,2.024998529686004,2.0046623490820945,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,1,9,17,2.0903978461709247,2.0932017822353184,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,1,17,33,2.0512057649494593,2.0632737995680803,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,1,33,65,1.8888905769719344,1.910119543244948,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,1,65,129,3.042271953205423,2.949756389475838,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,2,5,9,1.9982561811504123,1.9128386066803917,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,2,9,17,2.093937140125546,2.392698896795094,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,2,17,33,2.080400001608648,2.8400859736435704,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,2,33,65,1.950200067336347,3.94017937774808,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,2,65,129,2.7808850631313473,-1.414791012010126,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,4,5,9,1.9745911222443622,2.1250899067367515,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,4,9,17,2.0996332814704712,1.8368331445639687,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,4,17,33,2.11953746637198,1.6907194782095052,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,4,33,65,2.038131664697957,1.4517773602996653,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,affine_balance,log_control,4,65,129,2.46442344440002,6.5793745802093175,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,0,5,9,2.028672325975635,2.040033407253031,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,0,9,17,1.9886434459846456,1.9944679356816086,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,0,17,33,1.914011404509165,1.9198246862602724,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,0,33,65,1.6992735423335215,1.713342973862019,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,0,65,129,4.09515216786662,3.9215176089441997,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,1,5,9,2.0286723259757045,2.0400334072528454,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,1,9,17,1.988643445984577,1.9944679356817943,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,1,17,33,1.9140114045081353,1.9198246862574726,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,1,33,65,1.6992735423378937,1.713342973855638,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,1,65,129,4.095152167863277,3.9215176090924895,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,2,5,9,2.0368082187298593,1.9992038133653607,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,2,9,17,1.99126929998748,1.9742076219165379,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,2,17,33,1.9160642292836967,1.8982843263059217,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,2,33,65,1.704138637307614,1.6599731389373868,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,2,65,129,4.033589374323109,4.71994947439942,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,4,5,9,2.052963060901485,2.026172653525961,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,4,9,17,2.000810920802361,1.9867913472047702,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,4,17,33,1.9269809039237773,1.9124525441673283,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,4,33,65,1.7330655393226295,1.6968845689025036,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,chi,4,65,129,3.7062798887705393,4.1271314139037765,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,0,5,9,1.9477476996863865,2.423645135921137,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,0,9,17,2.082001573121954,2.333781741234398,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,0,17,33,2.0918976706763175,1.9985002089030335,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,0,33,65,1.9808782379557006,1.6328017242146193,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,0,65,129,2.6808854428538527,4.5159281598709855,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,1,5,9,1.9477476996863865,2.423645135921137,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,1,9,17,2.082001573121954,2.3337817412347364,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,1,17,33,2.091897670676149,1.9985002089040482,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,1,33,65,1.9808782379558691,1.632801724209068,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,1,65,129,2.6808854428517224,4.515928159875183,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,2,5,9,1.8779866708433297,0.9708363639216581,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,2,9,17,2.0848162856909465,1.5352832663964937,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,2,17,33,2.1517062890853853,1.8111989768144763,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,2,33,65,2.1211000589567064,1.7051693484030555,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,2,65,129,2.235572344944822,4.451720171621484,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,4,5,9,1.7448963332376473,1.8165435447705884,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,4,9,17,2.0899638755730474,1.8454945934088645,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,4,17,33,2.270459451736717,1.8783737790086328,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,4,33,65,2.452636567812707,1.7153146011758742,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_absorption,log_control,4,65,129,1.4751401576063983,4.023310999230796,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,0,5,9,2.0261139455189885,2.0546614715531515,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,0,9,17,1.984942794088376,1.9762830047034636,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,0,17,33,1.9079557265861717,1.881861593406517,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,0,33,65,1.6826501868209431,1.6098620960151078,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,0,65,129,4.331392752307085,6.393708825495606,raw diagnostic; affine primal roundoff slopes are not orders of convergence
base,curved_emission,chi,1,5,9,2.0261139455191266,2.0546614715534384,raw diagnostic; affine primal roundoff slopes are not orders of convergence
